url,text,user,timestamp,keyword,score
https://twitter.com/elonmusk/status/1526997132858822658,"In the past I voted Democrat, because they were (mostly) the kindness party.

But they have become the party of division & hate, so I can no longer support them and will vote Republican.

Now, watch their dirty tricks campaign against me unfold … 🍿",@elonmusk,2022-05-18 18:44:00+00:00,democrats lang:en,100.0
https://twitter.com/elonmusk/status/1688022163574439937,"If you were unfairly treated by your employer due to posting or liking something on this platform, we will fund your legal bill.

No limit. 

Please let us know.",@elonmusk,2023-08-06 03:00:00+00:00,maga_2023-08-09_16-31-36-670,86.25
https://twitter.com/JoeBiden/status/1311128884121755648,Beau Biden was not a loser.,@JoeBiden,2020-09-30 02:21:00+00:00,alexStein_2023-08-10_14-00-46-413,45.52
https://twitter.com/elonmusk/status/1637051525670264834,"@thevivafrei If this happens, Trump will be re-elected in a landslide victory",elonmusk,2023-03-18 11:21:13+00:00,TrumpWillBeRe-elected,22.52
https://twitter.com/elonmusk/status/1637051525670264834,"@thevivafrei If this happens, Trump will be re-elected in a landslide victory",elonmusk,2023-03-18 11:21:13+00:00,TrumpWillBeRe-elected,22.52
https://twitter.com/elonmusk/status/1637051525670264834,"@thevivafrei If this happens, Trump will be re-elected in a landslide victory",Elon Musk,2023-03-18 11:21:13+00:00,TrumpWillBeRe-elected,22.52
https://twitter.com/bts_bighit/status/1557305983159791616,"[#BANGTANZIP] 방탄소년단의 힐링 마사지 타임 (BTS' Soothing Massage Session)

👀 fb.watch/ePeSda9FWC/
🔎 Premiere ONLY on Facebook
🔎 BANGTAN.zip은 페이스북에서 최초 공개됩니다

#BTS #방탄소년단",@bts_bighit,2022-08-10 10:00:00+00:00,socialMedia_2023-08-10_01-09-05-700,15.9
https://twitter.com/TuckerCarlson/status/1692282708397863374,Ep. 17  Vivek Ramaswamy is the youngest Republican presidential candidate ever. He's worth listening to. https://t.co/9wGqptHdto,Tucker Carlson,2023-08-17 21:10:13+00:00,,15.86
https://twitter.com/realDonaldTrump/status/1339225465584840704,"Perhaps the biggest difference between 2016 and 2020 is @FoxNews, despite the fact that I went from 63,000,000 Votes to 75,000,000 Votes, a record 12,000,000 Vote increase. Obama went down 3,000,000 Votes, and won. Rigged Election!!!",@realDonaldTrump,2020-12-16 15:06:00+00:00,cable_news_2023-08-09_19-18-39-355,14.0
https://twitter.com/realDonaldTrump/status/1339225465584840704,"Perhaps the biggest difference between 2016 and 2020 is @FoxNews, despite the fact that I went from 63,000,000 Votes to 75,000,000 Votes, a record 12,000,000 Vote increase. Obama went down 3,000,000 Votes, and won. Rigged Election!!!",@realDonaldTrump,2020-12-16 15:06:00+00:00,cable_news_2023-08-09_19-18-39-355,13.99
